Id,Id2,Geography,<20,20-45,45-65,65+,Unemployed,Median income,Population density,Uninsured
0500000US02158,2158,"Kusilvak Census Area, Alaska",44,32.5,18.4,5.2,#N/A,#N/A,#N/A,22.9
0500000US46102,46102,"Oglala Lakota County, South Dakota",40.8,33.7,19.3,6.3,#N/A,#N/A,#N/A,18.2
0500000US51107,51107,"Loudoun County, Virginia",31.9,35.4,25,7.6,4.5,122238,605.8,6.7
0500000US51610,51610,"Falls Church city, Virginia",26.6,33.2,29.3,11,4.9,120000,6169.8,4.8
0500000US51059,51059,"Fairfax County, Virginia",26.5,34.9,27.7,11.1,5.2,110292,2766.8,8.8
0500000US24027,24027,"Howard County, Maryland",27.3,32.1,28.8,11.6,5.2,109865,1144.9,4.5
0500000US35028,35028,"Los Alamos County, New Mexico",25.7,25.5,32,16.6,4,106686,164.4,3.1
0500000US34019,34019,"Hunterdon County, New Jersey",24.1,26,34.9,15.1,7.9,106143,300,4.7
0500000US51013,51013,"Arlington County, Virginia",18,50.6,22.3,9.1,3.9,103208,7993.5,6.7
0500000US08035,8035,"Douglas County, Colorado",31.2,31.6,28,9.2,5.6,101591,339.7,3.5
0500000US34035,34035,"Somerset County, New Jersey",25.8,30,30.4,13.7,7.2,99020,1071.7,6.6
0500000US34027,34027,"Morris County, New Jersey",25.3,29.4,30.5,15.1,7.3,98633,1069.8,6.3
0500000US24031,24031,"Montgomery County, Maryland",25.8,33.2,27.8,13.3,6.3,98221,1978.2,8.5
0500000US51153,51153,"Prince William County, Virginia",30.6,36.5,25,7.8,6.4,98071,1195,11.1
0500000US36059,36059,"Nassau County, New York",24.9,29.8,29.1,16,7.4,97690,4704.8,6.5
0500000US51600,51600,"Fairfax city, Virginia",22.5,35.3,27.2,14.9,5.7,97242,3616.6,10.3
0500000US51179,51179,"Stafford County, Virginia",30.1,34.4,27,8.6,6.6,97110,479.5,7.6
0500000US24009,24009,"Calvert County, Maryland",27.2,28.7,31.6,12.5,7,95477,416.3,4.6
0500000US36079,36079,"Putnam County, New York",24.5,28.6,33,14.1,7.6,95117,432.9,5.5
0500000US24017,24017,"Charles County, Maryland",27.9,33,28.4,10.6,7.4,93160,320.2,5
0500000US06085,6085,"Santa Clara County, California",25.7,36.7,25.8,11.9,9.7,91702,1381,5.9
0500000US06041,6041,"Marin County, California",22.6,26.8,31.8,18.8,7.6,90839,485.1,6.2
0500000US47187,47187,"Williamson County, Tennessee",30.8,29.2,28.9,11.1,5.1,89779,314.4,6
0500000US39041,39041,"Delaware County, Ohio",30.6,31.2,27.4,11.1,4.4,89757,393.2,4.1
0500000US51061,51061,"Fauquier County, Virginia",26.6,28.2,30.5,14.7,6.4,88409,100.7,9.4
0500000US06081,6081,"San Mateo County, California",23.6,34.4,27.8,14.3,8.1,88202,1602.2,5.7
0500000US36103,36103,"Suffolk County, New York",25.4,30.8,29.2,14.8,7.4,87763,1637.4,6.9
0500000US24003,24003,"Anne Arundel County, Maryland",25.1,33.9,28,13.1,7,87430,1295.9,5.7
0500000US34037,34037,"Sussex County, New Jersey",24.5,28,33.4,14,9.2,87335,287.6,6.1
0500000US24035,24035,"Queen Anne's County, Maryland",25,27.1,31.1,16.8,7.1,87256,128.5,5.8
0500000US13117,13117,"Forsyth County, Georgia",31.5,31.3,26.6,10.7,8.2,86569,783.5,10.5
0500000US48397,48397,"Rockwall County, Texas",30.7,31.9,26.1,11.3,7.4,86119,616.7,13.5
0500000US27139,27139,"Scott County, Minnesota",31.3,33.5,26.1,8.9,6.1,86112,364.5,4.1
0500000US42029,42029,"Chester County, Pennsylvania",26.7,30.1,29,14,6.7,86050,664.7,6.4
0500000US51510,51510,"Alexandria city, Virginia",18.8,47,24.4,9.9,5,85706,9314.3,11.9
0500000US24037,24037,"St. Mary's County, Maryland",28,33.3,27.1,11.4,5.6,85672,294.4,5
0500000US25019,25019,"Nantucket County, Massachusetts",23.7,34.3,28.5,13.4,3.2,85478,226.2,4.2
0500000US48157,48157,"Fort Bend County, Texas",30.9,33.7,26.5,9,5.6,85297,679.5,12.8
0500000US36087,36087,"Rockland County, New York",30.5,29.4,25.6,14.4,8.3,84951,1795.9,7.5
0500000US25021,25021,"Norfolk County, Massachusetts",24.5,31.2,29,15.3,7.8,84916,1693.6,2.1
0500000US24013,24013,"Carroll County, Maryland",25.7,28.6,30.9,14.8,5.2,84790,373.4,4.4
0500000US24021,24021,"Frederick County, Maryland",26.8,31.8,28.8,12.5,6.2,84570,353.5,5.7
0500000US34025,34025,"Monmouth County, New Jersey",25.1,28.6,31.1,15.1,9,84526,1344.7,7.9
0500000US34003,34003,"Bergen County, New Jersey",24.2,30.9,29.1,15.7,7.6,83794,3884.5,9.6
0500000US27019,27019,"Carver County, Minnesota",31,30.7,28.6,9.6,5.7,83773,256.9,3.1
0500000US21185,21185,"Oldham County, Kentucky",28.7,30.4,30,11.1,6.2,83391,322.2,4.2
0500000US49043,49043,"Summit County, Utah",29.2,31.3,30.3,9.3,5.3,83336,19.4,10.9
0500000US48085,48085,"Collin County, Texas",29.9,35.3,25.7,9.2,5.7,82762,930,11
0500000US18057,18057,"Hamilton County, Indiana",31.3,32.8,26,10,5.4,82468,696.4,6.4
0500000US09001,9001,"Fairfield County, Connecticut",26.7,30.8,28.5,14.1,9.9,82283,1467.2,9.2
0500000US08039,8039,"Elbert County, Colorado",25.7,24,37.7,12.8,7.8,82118,12.5,7.6
0500000US25017,25017,"Middlesex County, Massachusetts",23.6,35.1,27.3,13.7,7.3,82090,1837.9,2.9
0500000US51199,51199,"York County, Virginia",27.4,30,28.8,14,5.1,82073,624.8,8
0500000US36119,36119,"Westchester County, New York",26,30.6,28.1,15.3,8.4,81946,2204.7,8.2
0500000US51735,51735,"Poquoson city, Virginia",25.8,25.9,31,17.3,4.4,81892,793.3,7.4
0500000US02016,2016,"Aleutians West Census Area, Alaska",23,40.4,31.4,5.3,4,81853,1.3,21.8
0500000US17093,17093,"Kendall County, Illinois",32.5,36.5,23.1,7.8,8,81765,358.2,4.8
0500000US51099,51099,"King George County, Virginia",29.2,31.7,27.9,11.3,7.3,81753,131.3,7
